ParentEduc,IsFirstChild,NrSiblings,MathScore,ReadingScore,WritingScore,PracticeSport,ParentMaritalStatus,LunchType,TestPrep,TransportMeans,WklyStudyHours,EthnicGroup,Gender
bachelor's degree,yes,3.0,71,71,74,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0
some college,yes,0.0,69,90,88,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0
master's degree,yes,4.0,87,93,91,3.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0
associate's degree,no,1.0,45,56,42,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
some college,yes,0.0,76,78,75,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
associate's degree,yes,1.0,73,84,79,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
some college,no,1.0,85,93,89,1.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0
some college,yes,1.0,41,43,39,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0
high school,no,3.0,65,64,68,3.0,3.0,0.0,2.0,1.0,2.0,4.0,1.0
high school,yes,2.0,37,59,50,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
associate's degree,yes,1.0,58,54,52,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0
associate's degree,yes,1.0,40,52,43,3.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0
high school,no,1.0,66,82,74,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
some college,yes,1.0,80,73,71,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
master's degree,yes,2.0,48,53,58,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
some high school,yes,0.0,69,75,78,3.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0
high school,yes,0.0,88,89,86,3.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0
some high school,yes,1.0,18,32,28,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
master's degree,no,1.0,46,42,47,3.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0
associate's degree,yes,3.0,50,56,58,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0
high school,yes,5.0,66,69,63,3.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
some college,no,2.0,65,75,70,3.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
VeriYok,yes,5.0,42,53,51,1.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
some high school,no,3.0,66,71,71,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
VeriYok,yes,2.0,74,71,80,3.0,2.0,0.0,2.0,2.0,0.0,4.0,1.0
master's degree,yes,1.0,75,76,76,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
some college,yes,5.0,66,53,53,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0
bachelor's degree,yes,4.0,69,70,76,3.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0
high school,no,1.0,70,70,65,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
some college,yes,0.0,66,72,72,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0
some college,yes,5.0,63,65,61,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0
master's degree,yes,1.0,56,73,66,3.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0
some college,no,2.0,40,42,38,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
some college,yes,0.0,97,87,82,3.0,1.0,1.0,0.0,2.0,3.0,5.0,1.0
associate's degree,no,2.0,81,81,79,3.0,3.0,1.0,2.0,2.0,0.0,5.0,1.0
associate's degree,no,2.0,76,82,85,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
some high school,yes,1.0,51,64,60,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0
associate's degree,no,1.0,77,91,90,2.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0
associate's degree,yes,5.0,58,56,58,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0
associate's degree,yes,0.0,53,60,52,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
associate's degree,no,1.0,59,74,69,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
some college,yes,3.0,60,65,67,2.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0
associate's degree,yes,5.0,48,55,52,3.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0
associate's degree,yes,3.0,63,53,55,3.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0
high school,yes,2.0,67,72,77,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
high school,VeriYok,3.0,82,84,82,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0
some college,no,3.0,54,55,48,0.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0
associate's degree,no,2.0,76,68,68,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0
some college,yes,3.0,56,45,43,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0
high school,yes,2.0,88,78,75,3.0,3.0,1.0,0.0,2.0,0.0,4.0,1.0
some high school,yes,2.0,75,86,90,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
high school,yes,2.0,33,41,43,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
associate's degree,yes,3.0,84,86,87,3.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0
associate's degree,no,2.0,52,55,49,3.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0
VeriYok,no,1.0,61,60,60,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0
some high school,yes,3.0,0,17,10,2.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0
some high school,yes,2.0,39,39,34,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
associate's degree,yes,5.0,62,61,55,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
some high school,yes,0.0,59,58,59,3.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0
some high school,yes,1.0,63,62,58,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0
some high school,yes,4.0,45,37,37,3.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0
some college,no,3.0,61,73,75,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
associate's degree,no,3.0,62,58,57,2.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0
associate's degree,yes,3.0,39,64,57,3.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
some college,yes,3.0,64,55,64,3.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0
associate's degree,yes,1.0,42,51,49,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
some high school,yes,3.0,59,56,54,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
some high school,yes,2.0,47,48,40,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
associate's degree,no,2.0,44,41,38,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0
some high school,no,5.0,28,25,21,3.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0
VeriYok,yes,2.0,82,79,83,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
some high school,yes,2.0,62,75,73,3.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0
master's degree,yes,1.0,60,68,68,1.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0
associate's degree,yes,0.0,49,50,52,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0
high school,yes,0.0,49,45,45,3.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0
some college,no,2.0,50,47,54,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0
associate's degree,yes,0.0,74,64,64,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0
high school,VeriYok,3.0,40,38,33,1.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0
some college,yes,0.0,73,80,82,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0
some college,yes,2.0,73,81,86,3.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0
associate's degree,yes,0.0,71,71,74,3.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0
some college,yes,3.0,57,69,67,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
some high school,yes,2.0,75,87,83,3.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0
high school,no,4.0,27,34,36,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
high school,no,1.0,68,77,69,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0
associate's degree,no,3.0,45,46,52,2.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0
some college,yes,4.0,81,87,94,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
some high school,yes,5.0,63,65,61,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
some college,yes,0.0,59,69,66,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
some college,yes,2.0,61,69,64,2.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0
bachelor's degree,yes,3.0,64,66,62,2.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0
some college,no,7.0,79,67,67,3.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
bachelor's degree,no,1.0,68,74,74,3.0,3.0,1.0,2.0,1.0,0.0,4.0,1.0
associate's degree,yes,3.0,87,92,91,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0
high school,no,3.0,61,44,48,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
some college,yes,1.0,100,88,94,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0
some college,yes,0.0,58,67,72,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
master's degree,no,3.0,87,100,100,3.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
VeriYok,yes,0.0,66,63,64,3.0,3.0,1.0,2.0,2.0,0.0,5.0,1.0
associate's degree,yes,2.0,52,76,70,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
some high school,no,3.0,72,64,73,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
associate's degree,yes,4.0,79,90,99,3.0,3.0,0.0,2.0,2.0,2.0,4.0,0.0
high school,no,6.0,63,55,50,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
associate's degree,yes,0.0,54,53,47,3.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0
some college,yes,1.0,47,56,51,1.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0
bachelor's degree,yes,3.0,98,99,100,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.0
high school,yes,4.0,84,77,74,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
bachelor's degree,no,1.0,72,83,79,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0
bachelor's degree,no,2.0,75,80,77,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
some high school,yes,0.0,54,64,63,2.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0
some college,no,3.0,55,69,65,3.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0
bachelor's degree,yes,1.0,76,90,86,1.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0
associate's degree,yes,3.0,88,87,90,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0
some college,yes,1.0,90,94,95,2.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0
high school,no,3.0,63,57,56,3.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0
some college,no,3.0,82,79,73,2.0,3.0,1.0,0.0,2.0,1.0,5.0,1.0
high school,yes,2.0,86,94,85,1.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0
VeriYok,no,3.0,72,68,67,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
some college,no,3.0,64,76,74,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0
master's degree,yes,2.0,77,81,72,1.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0
bachelor's degree,yes,0.0,52,49,52,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
